"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RML",844.75,2025-08-29 00:00:00,-1.44,842.1,2025-07-31 00:00:00,-1.13,739.5,2025-04-30 00:00:00,12.58,971.5,2024-10-31 00:00:00,-14.3,832.55,
"ROHLTD",536.9,2025-08-29 00:00:00,-7.9,424.05,2025-07-31 00:00:00,16.61,368.7,2025-04-30 00:00:00,34.12,322.45,2024-10-31 00:00:00,53.36,494.5,
"ROLEXRINGS",1361.8,2025-08-29 00:00:00,1.78,1429.3,2025-07-31 00:00:00,-3.03,1286.6,2025-04-30 00:00:00,7.73,2154.1,2024-10-31 00:00:00,-35.66,1386,
"ROSSARI",618.15,2025-08-29 00:00:00,0.04,705.1,2025-07-31 00:00:00,-12.3,658.05,2025-04-30 00:00:00,-6.03,807.95,2024-10-31 00:00:00,-23.46,618.4,
"ROSSELLIND",64.9,2025-08-29 00:00:00,3.14,66.49,2025-07-31 00:00:00,0.68,100.91,2024-10-09 00:00:00,-33.66,0.001,,6693900,66.94,
"ROSSTECH",671.85,2025-08-29 00:00:00,3.16,565.6,2025-07-31 00:00:00,22.53,395.6,2025-01-31 00:00:00,75.19,0.001,,69304900,693.05,
"ROTO",84.01,2025-08-29 00:00:00,-1.46,88.9,2025-07-31 00:00:00,-6.88,220.01,2025-04-30 00:00:00,-62.37,552.95,2024-10-31 00:00:00,-85.03,82.78,
"ROUTE",847.95,2025-08-29 00:00:00,0.53,902.3,2025-07-31 00:00:00,-5.52,950.95,2025-04-30 00:00:00,-10.36,1523.45,2024-10-31 00:00:00,-44.04,852.45,
"RPEL",569.45,2025-08-29 00:00:00,4.72,633.85,2025-07-31 00:00:00,-5.92,622.85,2025-04-30 00:00:00,-4.25,1316.15,2024-10-31 00:00:00,-54.69,596.35,
"RPGLIFE",2320.5,2025-08-29 00:00:00,0.83,2401,2025-07-31 00:00:00,-2.55,2091.3,2025-04-30 00:00:00,11.88,2508.2,2024-10-31 00:00:00,-6.71,2339.8,
"RPPINFRA",131.47,2025-08-29 00:00:00,20,124.28,2025-07-31 00:00:00,26.94,202.63,2024-08-13 00:00:00,-22.14,0.001,,15775900,157.76,
"RPPL",22.2,2025-08-29 00:00:00,1.44,25.15,2025-07-31 00:00:00,-10.46,25.44,2025-04-30 00:00:00,-11.48,39.7,2024-10-31 00:00:00,-43.27,22.52,
"RPSGVENT",863.05,2025-08-29 00:00:00,1.97,998.9,2025-07-31 00:00:00,-11.9,813.3,2025-04-30 00:00:00,8.21,1023.3,2024-10-31 00:00:00,-14,880.05,
"RPTECH",282.75,2025-08-29 00:00:00,-1.36,286.75,2025-07-31 00:00:00,-2.74,282.65,2025-04-30 00:00:00,-1.33,397,2024-10-31 00:00:00,-29.75,278.9,
"RRKABEL",1167.5,2025-08-29 00:00:00,2.41,1439.8,2025-07-31 00:00:00,-16.96,1044.7,2025-04-30 00:00:00,14.44,1506.65,2024-10-31 00:00:00,-20.65,1195.6,
"RSWM",147.07,2025-08-29 00:00:00,8.19,157.59,2025-07-31 00:00:00,0.97,144.88,2025-04-30 00:00:00,9.83,191.33,2024-10-31 00:00:00,-16.83,159.12,
"RSYSTEMS",461.6,2025-08-29 00:00:00,-0.28,418.1,2025-07-31 00:00:00,10.09,313.65,2025-04-30 00:00:00,46.76,484.95,2024-10-31 00:00:00,-5.08,460.3,
"RTNINDIA",61.36,2025-08-29 00:00:00,0.23,54.29,2025-07-31 00:00:00,13.28,41.66,2025-04-30 00:00:00,47.62,74.2,2024-10-31 00:00:00,-17.12,61.5,
